X,Y,class
7.003345706103683010e-01,-2.47E-01,0.000000000000000000e+00
-3.95E+00,2.740079525704512964e+00,1.000000000000000000e+00
1.502216169628195763e-01,-2.16E+00,1.000000000000000000e+00
-1.67E+00,-9.42E-01,1.000000000000000000e+00
2.560483030706227403e+00,-1.85E+00,1.000000000000000000e+00
-1.72E+00,3.463930362754094272e+00,1.000000000000000000e+00
1.895727775792024339e-01,1.699962288839345970e+00,1.000000000000000000e+00
-3.34E-01,1.029283722577734039e+00,0.000000000000000000e+00
3.098117267796060670e+00,-2.68E+00,1.000000000000000000e+00
-1.24E+00,-1.23E+00,1.000000000000000000e+00
-3.79E-01,7.500358939398555913e-01,0.000000000000000000e+00
2.921458788377597759e+00,-2.08E+00,1.000000000000000000e+00
-2.67E-03,-1.98E+00,1.000000000000000000e+00
7.487770425058711821e-01,1.947389187334890304e-01,0.000000000000000000e+00
1.603392121954956506e+00,-1.56E+00,1.000000000000000000e+00
4.957468772621302922e-01,-1.86E+00,1.000000000000000000e+00
2.067732874222349970e+00,-2.91E+00,1.000000000000000000e+00
-1.03E+00,-1.23E+00,1.000000000000000000e+00
-1.06E+00,2.393492250474185123e+00,1.000000000000000000e+00
-1.56E+00,1.618883795625225996e+00,1.000000000000000000e+00
-1.45E+00,1.123632612132270614e+00,1.000000000000000000e+00
8.591375081648347511e-02,2.985754918846100781e-01,0.000000000000000000e+00
1.722812936216182034e-01,1.597331461051200829e+00,1.000000000000000000e+00
3.518551483416375580e-01,-4.20E-01,0.000000000000000000e+00
4.245049375034025685e-01,-4.98E-01,0.000000000000000000e+00
8.783435788818374501e-01,1.352160281252421381e+00,1.000000000000000000e+00
1.888353598415557985e-02,-9.82E-01,0.000000000000000000e+00
-9.15E-01,1.274894988471171997e+00,0.000000000000000000e+00
1.196651863761155177e+00,-1.22E+00,1.000000000000000000e+00
2.467536460743072979e+00,-1.08E+00,1.000000000000000000e+00
5.180717032940083122e-01,-1.48E+00,0.000000000000000000e+00
1.600365627313766081e+00,2.149345554106973921e+00,1.000000000000000000e+00
-4.33E-01,1.170932968876183811e+00,0.000000000000000000e+00
9.348238557258353731e-01,2.534494445051522327e+00,1.000000000000000000e+00
1.640966542629791913e+00,5.225416106966239704e-01,1.000000000000000000e+00
1.186501722507404377e+00,1.316777191333307062e+00,1.000000000000000000e+00
-1.32E+00,-7.54E-01,0.000000000000000000e+00
-2.18E+00,-6.33E-01,1.000000000000000000e+00
7.253923085807442162e-01,-4.22E-01,0.000000000000000000e+00
7.284240900293105225e-01,-3.94E+00,1.000000000000000000e+00
-2.64E-01,-8.04E-02,0.000000000000000000e+00
-4.62E-01,-1.90E+00,1.000000000000000000e+00
-1.94E+00,4.457026865354683509e-01,1.000000000000000000e+00
-1.56E-01,1.209003457961369335e-02,0.000000000000000000e+00
-2.76E-01,1.138998303595258887e+00,0.000000000000000000e+00
-6.35E-01,-9.51E-01,0.000000000000000000e+00
6.521845246670801011e-01,-1.66E+00,1.000000000000000000e+00
1.223871206372108666e+00,-3.25E+00,1.000000000000000000e+00
3.254030953829592510e-01,1.077646545877195550e+00,0.000000000000000000e+00
-2.48E+00,1.010865143007645850e+00,1.000000000000000000e+00
-1.93E-01,-1.68E-01,0.000000000000000000e+00
2.638376493508213794e-01,5.799006007553437758e-01,0.000000000000000000e+00
-7.88E-01,1.328185175399581031e+00,0.000000000000000000e+00
-7.31E-01,-1.41E+00,1.000000000000000000e+00
-2.71E-01,-1.26E+00,0.000000000000000000e+00
-5.47E-02,-2.29E+00,1.000000000000000000e+00
-1.58E+00,2.766313314689585745e+00,1.000000000000000000e+00
8.747464276164415020e-01,-6.27E-01,0.000000000000000000e+00
4.463752231479944932e-01,-2.86E+00,1.000000000000000000e+00
1.394888599662614581e+00,3.019825392950201692e-01,0.000000000000000000e+00
-2.02E+00,2.500272936633889831e+00,1.000000000000000000e+00
1.964030657491153908e+00,-9.35E-01,1.000000000000000000e+00
-1.62E+00,-4.94E-01,1.000000000000000000e+00
-1.22E+00,9.541861903173733950e-01,0.000000000000000000e+00
8.268151657326361370e-01,4.585930330130318366e-01,0.000000000000000000e+00
5.901541550409353798e-01,1.109833298018609860e+00,0.000000000000000000e+00
1.228790587395936829e+00,1.061242318459729272e+00,1.000000000000000000e+00
-3.14E-01,-2.84E-01,0.000000000000000000e+00
-2.63E+00,1.748199937184166330e+00,1.000000000000000000e+00
1.047304976843239643e+00,-1.35E+00,1.000000000000000000e+00
2.297171243270413665e+00,-8.65E-01,1.000000000000000000e+00
-5.67E-01,1.165319921084196464e+00,0.000000000000000000e+00
-1.70E+00,1.220954657082061745e+00,1.000000000000000000e+00
-2.64E-01,-1.44E-01,0.000000000000000000e+00
3.575592504662149729e+00,-3.52E-01,1.000000000000000000e+00
-9.92E-01,-7.60E-01,0.000000000000000000e+00
2.594682550732963833e+00,7.981578886109130799e-01,1.000000000000000000e+00
-1.41E+00,-1.51E-01,0.000000000000000000e+00
-3.76E-01,4.612393426439825861e-02,0.000000000000000000e+00
1.575975519439683614e+00,-8.29E-01,1.000000000000000000e+00
-1.58E+00,3.315138590860848833e-01,1.000000000000000000e+00
2.263265940955667688e-01,1.239089971172367743e+00,0.000000000000000000e+00
-3.54E+00,-2.99E+00,1.000000000000000000e+00
2.804381536180667878e-01,1.683036409405642420e-01,0.000000000000000000e+00
8.815672443870660180e-01,-6.15E-01,0.000000000000000000e+00
-4.56E-01,-5.43E-01,0.000000000000000000e+00
-8.77E-01,9.871663695558104967e-01,0.000000000000000000e+00
2.900797301668512684e+00,8.282511436103372482e-01,1.000000000000000000e+00
6.074416926128273220e-01,-8.58E-01,0.000000000000000000e+00
-1.88E+00,-2.49E+00,1.000000000000000000e+00
-1.11E+00,-6.19E-01,0.000000000000000000e+00
-1.74E-01,-1.32E+00,0.000000000000000000e+00
-1.17E+00,-1.25E+00,1.000000000000000000e+00
-7.72E-01,-2.81E-01,0.000000000000000000e+00
1.585924132072230597e+00,5.782726864119162036e-01,1.000000000000000000e+00
-1.75E+00,1.238623289935947280e+00,1.000000000000000000e+00
-9.48E-01,5.339558272759815649e-01,0.000000000000000000e+00
-3.37E-01,1.633823796951311413e+00,1.000000000000000000e+00
6.241835820439434190e-01,-1.42E-01,0.000000000000000000e+00
-9.78E-01,-5.61E-01,0.000000000000000000e+00
-7.95E-01,2.764615086463585225e+00,1.000000000000000000e+00
-1.64E-01,-2.48E-01,0.000000000000000000e+00
-2.38E-01,-2.46E-01,0.000000000000000000e+00
-9.72E-01,-1.20E+00,0.000000000000000000e+00
9.257161294483617908e-01,-7.24E-02,0.000000000000000000e+00
-9.49E-01,-1.79E-02,0.000000000000000000e+00
-9.98E-01,1.686712812672123807e+00,1.000000000000000000e+00
5.989114591059019332e-01,1.093753735733948712e-01,0.000000000000000000e+00
3.997638260151903933e-01,-1.17E+00,0.000000000000000000e+00
-1.55E+00,2.395429340593213385e-01,0.000000000000000000e+00
6.196607909147477944e-01,1.587211933922893392e+00,1.000000000000000000e+00
1.349514524965117479e-01,1.303127184147900630e+00,0.000000000000000000e+00
1.801362911583698878e+00,2.781901972363885367e+00,1.000000000000000000e+00
4.286279233931481691e+00,1.166138760046648626e+00,1.000000000000000000e+00
-5.82E-01,1.808111754629635026e+00,1.000000000000000000e+00
-9.91E-01,-2.88E-01,0.000000000000000000e+00
-3.59E-01,1.979678288662433117e+00,1.000000000000000000e+00
1.182289212431857139e+00,2.182639386111781210e+00,1.000000000000000000e+00
1.205905648782524819e+00,5.000672882166676270e-02,0.000000000000000000e+00
-2.56E-01,-8.54E-01,0.000000000000000000e+00
8.739635234205157532e-01,-2.60E-01,0.000000000000000000e+00
-2.88E+00,-2.75E+00,1.000000000000000000e+00
7.362061161396689091e-01,-1.62E+00,1.000000000000000000e+00
3.287969587685252715e-01,9.652734566045914066e-01,0.000000000000000000e+00
7.116107875404137362e-01,1.828897582289039869e+00,1.000000000000000000e+00
6.175728240805604397e-02,-3.20E-01,0.000000000000000000e+00
1.274002701194220100e+00,-9.67E-01,1.000000000000000000e+00
3.090870381508287856e+00,-1.97E+00,1.000000000000000000e+00
5.969925312377408200e-02,8.242251795942897585e-01,0.000000000000000000e+00
1.990562157923775111e+00,1.825772049506991235e-01,1.000000000000000000e+00
1.882964706339493421e+00,-4.06E-01,1.000000000000000000e+00
2.699952676837631405e-01,2.970209298452134661e+00,1.000000000000000000e+00
-2.95E-01,8.296104729724489424e-01,0.000000000000000000e+00
3.431864147513726260e-01,2.854309762598042366e-01,0.000000000000000000e+00
-2.37E+00,1.166768367083907521e+00,1.000000000000000000e+00
-1.35E+00,8.286024780011860269e-01,0.000000000000000000e+00
2.693594177027836878e+00,1.571271451669741248e+00,1.000000000000000000e+00
4.026946402228552269e-01,3.711850210555751595e-01,0.000000000000000000e+00
-7.47E-01,-1.52E+00,1.000000000000000000e+00
2.204483936646929543e+00,1.547187770450270672e-01,1.000000000000000000e+00
-2.04E+00,-7.13E-01,1.000000000000000000e+00
2.337350983663574744e-02,2.505812771002334793e-01,0.000000000000000000e+00
-5.00E-02,2.984846291615316893e+00,1.000000000000000000e+00
-6.72E-01,6.754427966538693040e-01,0.000000000000000000e+00
7.185301587798656464e-02,-9.01E-01,0.000000000000000000e+00
1.134002746410940343e+00,6.585610499450188227e-02,0.000000000000000000e+00
4.511894165712014848e-01,-3.53E-01,0.000000000000000000e+00
1.275041824772063181e+00,7.106343090907244475e-01,0.000000000000000000e+00
2.052630945152853936e+00,-8.74E-01,1.000000000000000000e+00
